1;
3;
4 text arq1;
5 int m[5,5] cor(200,0,0) corexterna(200,200,0) tamanho(60,30) posicao(30,30);
6 int i cor(0,200,255) tamanho(60,30) posicao(400,30),
      j cor(0,200,255) tamanho(60,30) posicao(490,30),
	  aux cor(100,100,255) tamanho(60,30) posicao(580,30);
8;
9 assign (arq1, "arq65.txt");
10 reset (arq1);
11 i = 1;
12 j = 1;
13 read (arq1, m[1,1]);
12 j = 2;
13 read (arq1, m[1,2]);
12 j = 3;
13 read (arq1, m[1,3]);
12 j = 4;
13 read (arq1, m[1,4]);
12 j = 5;
13 read (arq1, m[1,5]);
11 i = 2;
12 j = 1;
13 read (arq1, m[2,1]);
12 j = 2;
13 read (arq1, m[2,2]);
12 j = 3;
13 read (arq1, m[2,3]);
12 j = 4;
13 read (arq1, m[2,4]);
12 j = 5;
13 read (arq1, m[2,5]);
11 i = 3;
12 j = 1;
13 read (arq1, m[3,1]);
12 j = 2;
13 read (arq1, m[3,2]);
12 j = 3;
13 read (arq1, m[3,3]);
12 j = 4;
13 read (arq1, m[3,4]);
12 j = 5;
13 read (arq1, m[3,5]);
11 i = 4;
12 j = 1;
13 read (arq1, m[4,1]);
12 j = 2;
13 read (arq1, m[4,2]);
12 j = 3;
13 read (arq1, m[4,3]);
12 j = 4;
13 read (arq1, m[4,4]);
12 j = 5;
13 read (arq1, m[4,5]);
11 i = 5;
12 j = 1;
13 read (arq1, m[5,1]);
12 j = 2;
13 read (arq1, m[5,2]);
12 j = 3;
13 read (arq1, m[5,3]);
12 j = 4;
13 read (arq1, m[5,4]);
12 j = 5;
13 read (arq1, m[5,5]);
14 i = 2;
15 j = 1;
16;
17 aux = 2;
18 m[2,1] = 8;
19 m[1,2] = 2;
20;
14 i = 3;
15 j = 1;
16;
17 aux = 1;
18 m[3,1] = 1;
19 m[1,3] = 1;
20;
15 j = 2;
16;
17 aux = 3;
18 m[3,2] = 7;
19 m[2,3] = 3;
20;
14 i = 4;
15 j = 1;
16;
17 aux = 8;
18 m[4,1] = 9;
19 m[1,4] = 8;
20;
15 j = 2;
16;
17 aux = 6;
18 m[4,2] = 1;
19 m[2,4] = 6;
20;
15 j = 3;
16;
17 aux = 1;
18 m[4,3] = 4;
19 m[3,4] = 1;
20;
14 i = 5;
15 j = 1;
16;
17 aux = 2;
18 m[5,1] = 4;
19 m[1,5] = 2;
20;
15 j = 2;
16;
17 aux = 8;
18 m[5,2] = 5;
19 m[2,5] = 8;
20;
15 j = 3;
16;
17 aux = 6;
18 m[5,3] = 2;
19 m[3,5] = 6;
20;
15 j = 4;
16;
17 aux = 1;
18 m[5,4] = 3;
19 m[4,5] = 1;
20;
21 i = 1;
22;
23 j = 1;
24 write ("3  ");
23 j = 2;
24 write ("2  ");
23 j = 3;
24 write ("1  ");
23 j = 4;
24 write ("8  ");
23 j = 5;
24 write ("2  ");
25 writeln ("");
26;
21 i = 2;
22;
23 j = 1;
24 write ("8  ");
23 j = 2;
24 write ("6  ");
23 j = 3;
24 write ("3  ");
23 j = 4;
24 write ("6  ");
23 j = 5;
24 write ("8  ");
25 writeln ("");
26;
21 i = 3;
22;
23 j = 1;
24 write ("1  ");
23 j = 2;
24 write ("7  ");
23 j = 3;
24 write ("9  ");
23 j = 4;
24 write ("1  ");
23 j = 5;
24 write ("6  ");
25 writeln ("");
26;
21 i = 4;
22;
23 j = 1;
24 write ("9  ");
23 j = 2;
24 write ("1  ");
23 j = 3;
24 write ("4  ");
23 j = 4;
24 write ("9  ");
23 j = 5;
24 write ("1  ");
25 writeln ("");
26;
21 i = 5;
22;
23 j = 1;
24 write ("4  ");
23 j = 2;
24 write ("5  ");
23 j = 3;
24 write ("2  ");
23 j = 4;
24 write ("3  ");
23 j = 5;
24 write ("3  ");
25 writeln ("");
26;
27;
